App,Package,Start Time,Duration,Filename
"System",,"Jan. 3, 2018 @ 07:40:55 PM","6 min 46 sec",""

Time  [ms],"CPU Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
69311,95,69313,1373516,69324,95,
69414,48,69415,1373436,69468,45,
69528,91,69529,1377372,69537,91,
69633,100,69634,1378736,69642,100,
69734,85,69735,1376216,69750,86,
69838,93,69839,1377368,69861,93,
69937,94,69941,1374660,69952,94,
70037,55,70038,1374356,70042,52,
70138,92,70139,1379300,70147,87,
70245,95,70246,1384684,70298,96,
70350,95,70352,1375196,70394,94,
70456,94,70459,1376392,70471,95,
70558,95,70560,1375504,70571,95,
70657,80,70658,1375136,70665,79,
70763,85,70765,1377728,70773,86,
70860,97,70861,1385660,70893,97,
70962,86,70963,1376892,70972,86,
71062,94,71064,1377820,71085,95,
71163,94,71164,1377472,71195,94,
71265,82,71266,1376396,71272,84,
71373,86,71380,1380920,71403,87,
71478,95,71479,1376900,71486,94,
71574,94,71575,1373788,71584,94,
71676,89,71678,1371204,71698,90,
71779,93,71780,1373772,71786,93,
71879,92,71881,1370952,71889,89,
71988,71,71989,1374964,72038,72,
72085,97,72086,1373412,72132,98,
72163,100,72164,1372256,72173,100,
72247,85,72248,1372756,72255,89,
72337,87,72338,1372052,72345,85,
72438,97,72441,1372140,72472,97,
72539,81,72540,1371208,72550,79,
72639,97,72640,1371944,72648,97,
72740,97,72741,1379408,72771,97,
72854,88,72855,1372228,72885,86,
72958,97,72960,1374728,72979,97,
73063,94,73064,1372668,73077,95,
73165,70,73189,1376184,73231,77,
73279,90,73280,1374664,73363,87,
73368,100,73372,1375832,73387,100,
73468,92,73469,1374132,73481,92,
73625,96,73628,1375412,73643,96,
73724,85,73725,1372196,73740,83,
73833,79,73834,1381172,73854,78,
73908,89,73932,1378404,73995,95,
73997,100,73998,1374704,74011,100,
74138,84,74141,1374960,74184,84,
74236,97,74254,1374392,74273,98,
74335,90,74337,1372448,74349,88,
74439,70,74440,1377564,74474,68,
74549,97,74550,1378804,74597,97,
74629,100,74632,1376840,74650,100,
74728,81,74730,1375852,74768,85,
74803,97,74819,1374676,74875,98,
74910,97,74915,1374340,74936,95,
75004,72,75005,1373876,75021,69,
75109,90,75111,1378752,75122,89,
75209,97,75210,1384236,75216,97,
75312,89,75313,1375432,75365,89,
75417,92,75421,1376240,75439,93,
75528,93,75533,1376196,75544,93,
75630,76,75632,1375424,75639,76,
75730,85,75731,1386052,75745,85,
75832,89,75833,1379696,75896,89,
75933,90,75934,1379292,75940,90,
76033,92,76034,1376680,76043,92,
