execute_time,a_matrix_height,a_matrix_width,b_matrix_height,b_matrix_width,out_matrix_height,out_matrix_width
0.009505,1,1024,1024,1008,1,1008
0.023552,1,2048,2048,1024,1,1024
0.009004,1,1024,1024,1008,1,1008
0.023356,1,2048,2048,1024,1,1024
0.005675,1,1024,1024,1008,1,1008
0.022364,1,2048,2048,1024,1,1024
0.003591,1,1024,1024,1008,1,1008
0.024083,1,2048,2048,1024,1,1024
0.008151,1,1024,1024,1008,1,1008
0.025987,1,2048,2048,1024,1,1024
0.00547,1,1024,1024,1008,1,1008
0.023934,1,2048,2048,1024,1,1024
0.003676,1,1024,1024,1008,1,1008
0.023935,1,2048,2048,1024,1,1024
0.009784,1,1024,1024,1008,1,1008
0.020263,1,2048,2048,1024,1,1024
0.003613,1,1024,1024,1008,1,1008
0.022428,1,2048,2048,1024,1,1024
0.00487,1,1024,1024,1008,1,1008
0.023353,1,2048,2048,1024,1,1024
0.003882,1,1024,1024,1008,1,1008
0.026839,1,2048,2048,1024,1,1024
0.012045,1,1024,1024,1008,1,1008
0.026346,1,2048,2048,1024,1,1024
0.00886,1,1024,1024,1008,1,1008
0.023722,1,2048,2048,1024,1,1024
0.005016,1,1024,1024,1008,1,1008
0.021181,1,2048,2048,1024,1,1024
0.003881,1,1024,1024,1008,1,1008
0.021831,1,2048,2048,1024,1,1024
0.005596,1,1024,1024,1008,1,1008
0.032822,1,2048,2048,1024,1,1024
0.011018,1,1024,1024,1008,1,1008
0.024504,1,2048,2048,1024,1,1024
0.014991,1,1024,1024,1008,1,1008
0.024267,1,2048,2048,1024,1,1024
0.005498,1,1024,1024,1008,1,1008
0.025014,1,2048,2048,1024,1,1024
0.002993,1,1024,1024,1008,1,1008
0.029529,1,2048,2048,1024,1,1024
0.006677,1,1024,1024,1008,1,1008
0.026258,1,2048,2048,1024,1,1024
0.005056,1,1024,1024,1008,1,1008
0.024845,1,2048,2048,1024,1,1024
0.00843,1,1024,1024,1008,1,1008
0.019776,1,2048,2048,1024,1,1024
0.009029,1,1024,1024,1008,1,1008
0.024025,1,2048,2048,1024,1,1024
0.011015,1,1024,1024,1008,1,1008
0.024762,1,2048,2048,1024,1,1024
0.009176,1,1024,1024,1008,1,1008
0.02439,1,2048,2048,1024,1,1024
0.004746,1,1024,1024,1008,1,1008
0.028892,1,2048,2048,1024,1,1024
0.005182,1,1024,1024,1008,1,1008
0.021015,1,2048,2048,1024,1,1024
0.003909,1,1024,1024,1008,1,1008
0.025013,1,2048,2048,1024,1,1024
0.005533,1,1024,1024,1008,1,1008
0.026697,1,2048,2048,1024,1,1024
0.004563,1,1024,1024,1008,1,1008
0.024646,1,2048,2048,1024,1,1024
0.013837,1,1024,1024,1008,1,1008
0.03016,1,2048,2048,1024,1,1024
0.006794,1,1024,1024,1008,1,1008
0.025357,1,2048,2048,1024,1,1024
0.004892,1,1024,1024,1008,1,1008
0.024423,1,2048,2048,1024,1,1024
0.017244,1,1024,1024,1008,1,1008
0.01989,1,2048,2048,1024,1,1024
0.009335,1,1024,1024,1008,1,1008
0.020148,1,2048,2048,1024,1,1024
0.011461,1,1024,1024,1008,1,1008
0.028064,1,2048,2048,1024,1,1024
0.006933,1,1024,1024,1008,1,1008
0.023287,1,2048,2048,1024,1,1024
0.003864,1,1024,1024,1008,1,1008
0.023404,1,2048,2048,1024,1,1024
0.004533,1,1024,1024,1008,1,1008
0.025167,1,2048,2048,1024,1,1024
0.003721,1,1024,1024,1008,1,1008
0.028506,1,2048,2048,1024,1,1024
0.005297,1,1024,1024,1008,1,1008
0.032249,1,2048,2048,1024,1,1024
0.006122,1,1024,1024,1008,1,1008
0.023382,1,2048,2048,1024,1,1024
0.00777,1,1024,1024,1008,1,1008
0.025633,1,2048,2048,1024,1,1024
0.003822,1,1024,1024,1008,1,1008
0.030688,1,2048,2048,1024,1,1024
0.008931,1,1024,1024,1008,1,1008
0.026321,1,2048,2048,1024,1,1024
0.008563,1,1024,1024,1008,1,1008
0.022833,1,2048,2048,1024,1,1024
0.004438,1,1024,1024,1008,1,1008
0.007713,1,2048,2048,1024,1,1024
0.003361,1,1024,1024,1008,1,1008
0.019608,1,2048,2048,1024,1,1024
0.003237,1,1024,1024,1008,1,1008
0.008321,1,2048,2048,1024,1,1024
0.003331,1,1024,1024,1008,1,1008
0.02493,1,2048,2048,1024,1,1024
0.007302,1,1024,1024,1008,1,1008
0.021049,1,2048,2048,1024,1,1024
0.003653,1,1024,1024,1008,1,1008
0.022223,1,2048,2048,1024,1,1024
0.00726,1,1024,1024,1008,1,1008
0.024503,1,2048,2048,1024,1,1024
0.003847,1,1024,1024,1008,1,1008
0.023227,1,2048,2048,1024,1,1024
0.008119,1,1024,1024,1008,1,1008
0.025384,1,2048,2048,1024,1,1024
0.003851,1,1024,1024,1008,1,1008
0.025686,1,2048,2048,1024,1,1024
0.006903,1,1024,1024,1008,1,1008
0.027487,1,2048,2048,1024,1,1024
0.004566,1,1024,1024,1008,1,1008
0.02692,1,2048,2048,1024,1,1024
0.007574,1,1024,1024,1008,1,1008
0.023534,1,2048,2048,1024,1,1024
0.003292,1,1024,1024,1008,1,1008
0.01984,1,2048,2048,1024,1,1024
0.003606,1,1024,1024,1008,1,1008
0.025696,1,2048,2048,1024,1,1024
0.005731,1,1024,1024,1008,1,1008
0.027794,1,2048,2048,1024,1,1024
0.004712,1,1024,1024,1008,1,1008
0.029235,1,2048,2048,1024,1,1024
0.015819,1,1024,1024,1008,1,1008
0.025532,1,2048,2048,1024,1,1024
0.007346,1,1024,1024,1008,1,1008
0.018478,1,2048,2048,1024,1,1024
0.003211,1,1024,1024,1008,1,1008
0.02413,1,2048,2048,1024,1,1024
0.013715,1,1024,1024,1008,1,1008
0.025608,1,2048,2048,1024,1,1024
0.003574,1,1024,1024,1008,1,1008
