Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%]
40123,58,47660,1586000,47662,3499740,127237.818181818,47690,34
40223,68,47760,1586000,47761,3504536,132033.818181818,47766,41
40324,57,47863,1586000,47867,3505136,132633.818181818,47888,36
40424,87,47961,1586000,47963,3505356,132853.818181818,47991,32
40525,0,48062,1586000,48063,3504044,131541.818181818,48095,25
40625,66,48163,1170000,48164,3499808,127305.818181818,48192,37
40725,66,48263,1586000,48267,3504304,131801.818181818,48284,39
40825,55,48363,1586000,48364,3504800,132297.818181818,48385,32
40926,44,48463,1586000,48464,3506820,134317.818181818,48486,27
41027,50,48565,1586000,48566,3514408,141905.818181818,48602,28
41127,76,48664,1586000,48665,3513204,140701.818181818,48682,46
41227,45,48764,1586000,48766,3497668,125165.818181818,48784,26
41327,62,48865,1586000,48866,3501464,128961.818181818,48888,32
41427,40,48965,1586000,48966,3502876,130373.818181818,48991,25
41528,59,49066,1586000,49067,3513540,141037.818181818,49097,35
41629,87,49167,1586000,49168,3512820,140317.818181818,49196,37
41728,0,49266,1586000,49266,3512684,140181.818181818,49271,34
41829,87,49367,1586000,49368,3514132,141629.818181818,49387,28
41930,0,49468,1586000,49469,3514404,141901.818181818,49484,35
42030,87,49568,1586000,49569,3514468,141965.818181818,49589,34
42131,0,49669,1586000,49670,3512596,140093.818181818,49685,33
42231,87,49769,1586000,49770,3515264,142761.818181818,49791,43
42332,0,49870,1586000,49871,3512136,139633.818181818,49885,32
42432,87,49970,1586000,49971,3504876,132373.818181818,49991,44
42533,0,50070,1586000,50071,3504628,132125.818181818,50085,31
42633,63,50171,1586000,50172,3503176,130673.818181818,50188,37
42734,32,50272,1482000,50273,3503596,131093.818181818,50288,22
42834,63,50371,1586000,50373,3510280,137777.818181818,50390,38
42935,62,50472,1586000,50474,3510752,138249.818181818,50489,35
43035,62,50573,1586000,50574,3510592,138089.818181818,50589,38
43136,45,50673,1586000,50675,3512336,139833.818181818,50695,27
43236,55,50773,1586000,50775,3509920,137417.818181818,50789,34
43336,71,50874,1586000,50875,3510416,137913.818181818,50889,43
43437,57,50975,1274000,50976,3509620,137117.818181818,50995,30
43538,68,51076,1482000,51077,3511108,138605.818181818,51092,36
43638,38,51175,1482000,51176,3511852,139349.818181818,51191,22
43739,62,51277,1586000,51278,3509188,136685.818181818,51298,35
43839,67,51376,1586000,51378,3509636,137133.818181818,51392,41
43939,74,51477,1586000,51479,3511324,138821.818181818,51493,44
44040,56,51577,1586000,51579,3511636,139133.818181818,51594,33
44140,31,51679,1586000,51680,3512132,139629.818181818,51695,22
44241,70,51778,1586000,51779,3502816,130313.818181818,51810,43
44341,60,51879,1586000,51881,3507064,134561.818181818,51895,32
44442,54,51979,1482000,51980,3508356,135853.818181818,51997,30
44543,61,52081,1586000,52082,3510340,137837.818181818,52097,36
44645,40,52183,442000,52186,3512820,140317.818181818,52211,22
44743,69,52281,1274000,52282,3518720,146217.818181818,52302,33
44843,71,52381,1586000,52382,3517440,144937.818181818,52398,40
44944,57,52482,1482000,52483,3517176,144673.818181818,52503,34
45045,70,52582,1586000,52583,3517728,145225.818181818,52599,42
45145,31,52682,1586000,52684,3518720,146217.818181818,52699,22
45246,68,52785,1586000,52786,3508084,135581.818181818,52817,41
45346,65,52883,1586000,52884,3510348,137845.818181818,52900,38
45446,55,52984,1586000,52985,3509120,136617.818181818,53000,29
45546,58,53084,1586000,53085,3510164,137661.818181818,53101,33
45648,46,53186,1482000,53187,3515124,142621.818181818,53207,28
45748,75,53287,1586000,53289,3510924,138421.818181818,53308,61
45849,53,53386,1586000,53387,3509520,137017.818181818,53402,38
45948,87,53486,1586000,53487,3510520,138017.818181818,53503,27
46049,0,53587,1586000,53588,3517264,144761.818181818,53605,35
46149,0,53687,1586000,53688,3518724,146221.818181818,53706,43
46250,38,53787,1586000,53788,3519760,147257.818181818,53806,26
46350,0,53887,1586000,53889,3519536,147033.818181818,53904,35
46450,87,53988,1586000,53989,3519692,147189.818181818,54018,31
