Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%]
23089,29,29516,1586000,29517,3502288,138904.672897196,29634,20
23189,19,29616,1586000,29619,3489912,126528.672897196,29733,14
23290,31,29717,1586000,29717,3492600,129216.672897196,29837,24
23390,37,29818,1586000,29819,3494100,130716.672897196,29934,25
23490,25,29917,1586000,29918,3498580,135196.672897196,30038,16
23591,29,30018,1586000,30019,3498828,135444.672897196,30137,21
23691,20,30118,1586000,30119,3503540,140156.672897196,30237,15
23791,32,30218,1586000,30219,3505524,142140.672897196,30340,24
23891,16,30319,1586000,30320,3497044,133660.672897196,30437,12
23992,22,30419,1586000,30420,3496516,133132.672897196,30538,17
24092,26,30519,1586000,30520,3498460,135076.672897196,30636,20
24193,29,30620,1586000,30621,3499964,136580.672897196,30736,22
24293,37,30720,1586000,30721,3503436,140052.672897196,30838,26
24393,24,30821,1586000,30822,3505752,142368.672897196,30936,17
24494,30,30921,1586000,30922,3506248,142864.672897196,31038,22
24594,24,31022,1586000,31023,3508728,145344.672897196,31137,16
24695,22,31122,1586000,31123,3508192,144808.672897196,31240,16
24795,32,31222,1586000,31223,3508192,144808.672897196,31339,25
24895,33,31323,1586000,31324,3505400,142016.672897196,31438,23
24996,18,31423,1586000,31424,3499532,136148.672897196,31539,14
25096,21,31524,1586000,31525,3503188,139804.672897196,31639,15
25197,32,31624,1586000,31625,3503932,140548.672897196,31743,24
25297,25,31725,1586000,31726,3506164,142780.672897196,31840,19
25398,18,31825,1586000,31827,3504812,141428.672897196,31944,12
25499,21,31925,1586000,31927,3505060,141676.672897196,32043,19
25599,38,32027,1586000,32029,3505656,142272.672897196,32141,26
25699,24,32127,1586000,32128,3506152,142768.672897196,32248,15
25800,33,32227,1586000,32228,3506648,143264.672897196,32342,24
25901,29,32327,1586000,32328,3500272,136888.672897196,32447,20
26001,36,32429,1586000,32430,3504900,141516.672897196,32544,26
26101,22,32528,1586000,32529,3505544,142160.672897196,32644,15
26202,23,32629,1586000,32630,3505796,142412.672897196,32745,15
26303,36,32730,1586000,32731,3505088,141704.672897196,32846,25
26403,20,32831,1586000,32832,3499216,135832.672897196,32945,15
26504,19,32931,1586000,32932,3499564,136180.672897196,33048,15
26604,8,33032,1586000,33033,3503732,140348.672897196,33154,6
26706,27,33131,1586000,33132,3504228,140844.672897196,33251,20
26806,33,33234,1586000,33235,3506956,143572.672897196,33348,25
26906,17,33334,1586000,33335,3505444,142060.672897196,33451,16
27008,34,33434,1586000,33436,3505940,142556.672897196,33551,23
27108,57,33535,1586000,33537,3499764,136380.672897196,33662,42
27209,31,33636,1586000,33637,3516132,152748.672897196,33751,23
27309,22,33736,1586000,33738,3497340,133956.672897196,33852,15
27409,38,33837,1586000,33838,3496104,132720.672897196,33952,27
27510,35,33937,1586000,33938,3498832,135448.672897196,34055,23
27610,21,34038,1586000,34039,3499328,135944.672897196,34155,15
27712,33,34138,1586000,34139,3500552,137168.672897196,34257,24
27812,39,34240,1586000,34241,3501296,137912.672897196,34354,28
27912,22,34339,1586000,34340,3492960,129576.672897196,34463,16
28012,25,34439,1586000,34440,3493208,129824.672897196,34554,18
28114,17,34540,1586000,34541,3497364,133980.672897196,34660,13
28214,24,34642,1586000,34643,3500092,136708.672897196,34757,17
28314,27,34741,1586000,34742,3494600,131216.672897196,34857,18
28414,26,34841,1586000,34843,3493496,130112.672897196,34957,20
28514,29,34942,1586000,34943,3495480,132096.672897196,35057,21
28615,23,35042,1586000,35043,3496224,132840.672897196,35156,18
28715,22,35142,1586000,35143,3497216,133832.672897196,35259,16
28816,20,35243,1586000,35244,3501184,137800.672897196,35360,15
28916,34,35343,1586000,35344,3500004,136620.672897196,35460,26
29016,38,35444,1586000,35445,3502484,139100.672897196,35558,24
29117,27,35544,1586000,35545,3501992,138608.672897196,35660,19
29217,37,35644,1586000,35645,3500848,137464.672897196,35760,27
29317,32,35745,1586000,35746,3501004,137620.672897196,35861,23
