App,Package,Start Time,Duration,Filename
"System",,"Jan. 6, 2018 @ 12:02:03 vorm.","7 min 14 sec",""

Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
31523,18,31423,1586000,31424,3499532,31539,14,
31623,21,31524,1586000,31525,3503188,31639,15,
31724,32,31624,1586000,31625,3503932,31743,24,
31824,25,31725,1586000,31726,3506164,31840,19,
31925,18,31825,1586000,31827,3504812,31944,12,
32026,21,31925,1586000,31927,3505060,32043,19,
32126,38,32027,1586000,32029,3505656,32141,26,
32226,24,32127,1586000,32128,3506152,32248,15,
32327,33,32227,1586000,32228,3506648,32342,24,
32428,29,32327,1586000,32328,3500272,32447,20,
32528,36,32429,1586000,32430,3504900,32544,26,
32628,22,32528,1586000,32529,3505544,32644,15,
32729,23,32629,1586000,32630,3505796,32745,15,
32830,36,32730,1586000,32731,3505088,32846,25,
32930,20,32831,1586000,32832,3499216,32945,15,
33031,19,32931,1586000,32932,3499564,33048,15,
33131,8,33032,1586000,33033,3503732,33154,6,
33233,27,33131,1586000,33132,3504228,33251,20,
33333,33,33234,1586000,33235,3506956,33348,25,
33433,17,33334,1586000,33335,3505444,33451,16,
33535,34,33434,1586000,33436,3505940,33551,23,
33635,57,33535,1586000,33537,3499764,33662,42,
33736,31,33636,1586000,33637,3516132,33751,23,
33836,22,33736,1586000,33738,3497340,33852,15,
33936,38,33837,1586000,33838,3496104,33952,27,
34037,35,33937,1586000,33938,3498832,34055,23,
34137,21,34038,1586000,34039,3499328,34155,15,
34239,33,34138,1586000,34139,3500552,34257,24,
34339,39,34240,1586000,34241,3501296,34354,28,
34439,22,34339,1586000,34340,3492960,34463,16,
34539,25,34439,1586000,34440,3493208,34554,18,
34641,17,34540,1586000,34541,3497364,34660,13,
34741,24,34642,1586000,34643,3500092,34757,17,
34841,27,34741,1586000,34742,3494600,34857,18,
34941,26,34841,1586000,34843,3493496,34957,20,
35041,29,34942,1586000,34943,3495480,35057,21,
35142,23,35042,1586000,35043,3496224,35156,18,
35242,22,35142,1586000,35143,3497216,35259,16,
35343,20,35243,1586000,35244,3501184,35360,15,
35443,34,35343,1586000,35344,3500004,35460,26,
35543,38,35444,1586000,35445,3502484,35558,24,
35644,27,35544,1586000,35545,3501992,35660,19,
35744,37,35644,1586000,35645,3500848,35760,27,
35844,32,35745,1586000,35746,3501004,35861,23,
35945,28,35845,1586000,35846,3493704,35961,21,
36046,29,35945,1586000,35948,3497424,36065,21,
36147,44,36046,1586000,36047,3494200,36163,33,
36247,45,36147,1586000,36149,3496812,36265,32,
36347,41,36247,1586000,36248,3497124,36364,32,
36447,29,36347,1586000,36349,3497724,36466,20,
36548,29,36448,1586000,36449,3498964,36564,21,
36648,18,36548,1586000,36549,3499460,36667,14,
36749,29,36649,1586000,36650,3499792,36765,15,
