App,Package,Start Time,Duration,Filename
"System",,"Jan. 5, 2018 @ 11:50:40 nachm.","6 min 57 sec",""

Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
35752,0,35753,1586000,35754,3505724,35772,35,
35852,43,35853,1586000,35854,3505472,35868,26,
35953,49,35954,1586000,35955,3505504,35970,30,
36055,68,36055,1586000,36056,3506100,36072,38,
36156,52,36156,1586000,36157,3505068,36174,30,
36255,63,36256,1586000,36257,3506120,36272,35,
36356,36,36357,1586000,36358,3503756,36372,24,
36457,52,36458,1586000,36459,3504132,36487,30,
36557,68,36557,1586000,36557,3504808,36563,43,
36658,54,36658,1586000,36659,3505924,36679,29,
36759,66,36760,1586000,36761,3508404,36778,38,
36808,37,36809,1586000,36810,3506432,36825,25,
36909,51,36909,1586000,36911,3506140,36928,31,
37009,72,37010,1586000,37011,3506388,37027,42,
37161,55,37161,1586000,37170,3507136,37194,35,
37210,87,37210,1586000,37210,3508532,37226,40,
37311,0,37311,1586000,37312,3515008,37318,35,
37411,81,37412,1586000,37414,3513224,37436,49,
37511,67,37512,1586000,37513,3500848,37528,39,
37612,59,37612,1170000,37614,3499256,37635,33,
37714,65,37715,546000,37717,3500992,37743,31,
37813,53,37813,1482000,37814,3499516,37829,30,
37913,48,37913,1586000,37915,3492324,37935,27,
38014,87,38014,1586000,38016,3498456,38034,41,
38114,0,38115,1586000,38117,3498904,38134,36,
38214,60,38215,1586000,38217,3498812,38232,35,
38316,48,38316,1586000,38317,3500548,38333,29,
38415,60,38416,1586000,38417,3503524,38435,34,
38516,56,38517,1586000,38518,3505248,38531,33,
38616,50,38617,1586000,38618,3505868,38631,27,
38717,57,38718,1586000,38719,3508348,38733,31,
38817,40,38818,1586000,38819,3506872,38833,27,
38918,59,38919,1586000,38920,3496072,38936,32,
39018,56,39018,1586000,39019,3499792,39037,33,
39118,62,39119,1586000,39120,3500340,39135,37,
39218,46,39219,1586000,39220,3501088,39235,25,
39319,45,39320,1586000,39321,3502880,39337,27,
39419,68,39420,1586000,39421,3496940,39441,41,
39520,50,39520,1586000,39522,3498800,39536,27,
39620,60,39621,1586000,39622,3499668,39638,33,
39722,53,39722,1586000,39724,3500912,39738,34,
39821,40,39821,1586000,39822,3499204,39839,26,
39923,65,39924,1586000,39925,3504784,39940,40,
40024,58,40024,1586000,40025,3504320,40041,34,
40124,58,40124,1586000,40126,3504668,40139,35,
40224,65,40225,1274000,40226,3505596,40241,31,
40325,35,40325,1586000,40326,3504020,40341,22,
40425,55,40425,1586000,40426,3504120,40440,31,
40525,62,40526,1586000,40527,3495488,40543,34,
40626,51,40626,1586000,40627,3496264,40644,28,
40726,64,40727,1586000,40728,3496916,40744,38,
40827,43,40827,1586000,40828,3495952,40844,26,
40927,62,40928,1586000,40930,3502056,40947,37,
41027,57,41028,1586000,41029,3503048,41043,34,
41129,60,41129,1586000,41130,3503748,41145,33,
41229,52,41229,1586000,41230,3494636,41245,30,
41329,36,41330,1586000,41331,3493704,41346,25,
41430,62,41431,1586000,41432,3504656,41451,36,
41531,66,41531,1586000,41532,3505028,41548,40,
41631,60,41632,1586000,41633,3505392,41649,34,
41731,61,41732,1586000,41733,3506732,41749,35,
41835,53,41835,1586000,41837,3505504,41853,34,
41935,75,41935,1586000,41936,3505752,41951,47,
42035,47,42036,1586000,42037,3506744,42055,25,
42136,57,42137,858000,42139,3506984,42161,29,
42236,44,42237,1274000,42238,3506992,42255,25,
42336,60,42337,1586000,42339,3503244,42355,34,
42437,67,42437,1586000,42438,3502152,42453,36,
42537,52,42538,1586000,42539,3493916,42554,31,
42638,61,42638,1586000,42639,3497328,42654,33,
42738,27,42739,1586000,42740,3498320,42755,19,
42839,66,42840,1586000,42841,3506616,42855,39,
42939,63,42939,1586000,42940,3507212,42955,37,
43039,58,43040,1586000,43041,3507264,43055,34,
43140,87,43140,1586000,43141,3508908,43161,45,
43240,0,43240,1586000,43241,3509836,43259,30,
43340,87,43341,1586000,43342,3508672,43362,40,
43440,0,43441,1586000,43442,3508412,43456,33,
43541,87,43542,1170000,43543,3509508,43566,42,
43641,0,43642,1378000,43643,3510324,43661,23,
43742,61,43742,1586000,43744,3508500,43761,31,
