App,Package,Start Time,Duration,Filename
"System",,"Jan. 3, 2018 @ 08:48:31 nachm.","6 min 40 sec",""

Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
124493,70,124494,1586000,124495,3527648,124722,57,
124594,50,124595,1586000,124596,3528396,124825,26,
124694,87,124695,1586000,124696,3529596,124920,38,
124801,35,124801,1482000,124803,3531612,125018,48,
124902,0,124902,1586000,124904,3524616,125123,34,
125002,77,125002,1586000,125003,3529588,125225,32,
125103,53,125105,1378000,125106,3530580,125325,21,
125203,87,125204,1586000,125205,3531916,125426,46,
125304,0,125305,1274000,125306,3532836,125523,49,
125405,77,125406,1586000,125408,3538432,125628,40,
125506,71,125507,1586000,125508,3535824,125724,44,
125606,87,125607,1586000,125608,3536928,125830,43,
125706,0,125707,1586000,125708,3524428,125933,39,
125809,62,125810,1586000,125811,3531524,126035,41,
125909,68,125910,1586000,125911,3533012,126127,44,
126010,63,126011,1586000,126012,3534996,126233,39,
126111,63,126111,1586000,126112,3539400,126332,35,
126211,87,126211,1586000,126213,3540052,126428,31,
126311,65,126312,1586000,126313,3540200,126532,34,
126412,0,126412,1586000,126413,3541992,126630,51,
126512,57,126513,1586000,126514,3529048,126731,38,
126613,83,126613,1586000,126614,3531880,126831,36,
126713,61,126714,1586000,126715,3532788,126930,25,
126814,66,126814,1586000,126815,3533436,127046,27,
126914,37,126915,1586000,126916,3533440,127121,46,
127014,52,127015,1586000,127016,3528352,127235,28,
127115,74,127115,1586000,127115,3531208,127294,51,
127215,50,127216,1586000,127217,3533892,127373,40,
127266,80,127267,1586000,127269,3531724,127512,36,
127366,67,127367,1586000,127367,3533208,127574,50,
127469,51,127470,1586000,127471,3536376,127697,47,
127568,82,127568,1586000,127569,3528872,127803,55,
127671,69,127672,1586000,127674,3530672,127902,30,
127772,74,127774,1586000,127775,3530924,127987,33,
127871,46,127872,1586000,127873,3520568,128091,35,
127972,56,127972,1586000,127973,3527488,128196,27,
128072,66,128073,1586000,128074,3527488,128291,41,
128173,49,128173,1586000,128175,3516004,128391,26,
128274,69,128274,1586000,128275,3514776,128508,25,
128374,45,128374,1586000,128375,3516724,128580,43,
128474,40,128475,1586000,128476,3524008,128694,28,
128574,70,128575,1586000,128575,3529612,128794,40,
128676,49,128676,1586000,128678,3529864,128892,27,
128776,66,128776,1586000,128777,3528292,128999,20,
128876,42,128876,1586000,128878,3529628,129103,43,
128977,39,128978,962000,128979,3531612,129198,46,
129079,78,129080,1586000,129081,3528360,129298,45,
129178,73,129178,1586000,129180,3520548,129397,47,
129279,80,129280,1586000,129281,3519600,129500,34,
129380,75,129381,1586000,129382,3517088,129614,50,
129481,48,129482,1586000,129483,3522512,129702,39,
129581,84,129582,1586000,129584,3529116,129799,35,
129682,63,129683,1586000,129684,3529612,129901,36,
129782,57,129782,1586000,129784,3528776,130008,22,
129883,60,129884,1586000,129885,3527868,130108,35,
129983,35,129983,1586000,129984,3528020,130208,42,
130084,75,130085,1482000,130086,3526344,130304,36,
130185,66,130186,1586000,130188,3505244,130404,29,
130285,66,130286,1586000,130287,3502760,130521,35,
130386,47,130387,1586000,130388,3504496,130592,40,
130487,50,130487,1586000,130489,3508672,130706,28,
130586,71,130586,1586000,130587,3513740,130806,40,
130687,49,130688,1586000,130689,3515360,130910,38,
130789,71,130789,1482000,130791,3514484,131017,43,
130889,63,130890,1586000,130892,3516180,131112,56,
