App,Package,Start Time,Duration,Filename
"System",,"Jan. 3, 2018 @ 09:15:02 nachm.","7 min 20 sec",""

Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
139005,40,138904,962000,138905,3519444,138924,19,
139104,31,139006,1170000,139007,3519924,139025,23,
139204,30,139104,1586000,139105,3520172,139120,21,
139305,21,139205,1274000,139206,3523544,139237,18,
139406,27,139306,1170000,139307,3522656,139323,12,
139506,24,139406,1274000,139408,3522656,139425,16,
139607,21,139507,1170000,139508,3518912,139527,14,
139708,25,139607,1274000,139608,3518076,139623,13,
139808,36,139708,1170000,139709,3520940,139728,14,
139909,28,139808,1482000,139810,3520452,139824,24,
140010,23,139910,1378000,139911,3521196,139927,20,
140111,34,140010,1586000,140012,3521444,140027,16,
140211,15,140111,1378000,140112,3524420,140127,20,
140312,35,140212,1170000,140213,3524668,140228,9,
140414,32,140313,1170000,140315,3524564,140332,20,
140513,33,140415,1170000,140416,3518892,140432,17,
140615,29,140514,1170000,140515,3519404,140531,17,
140715,31,140615,1170000,140617,3520196,140634,16,
140815,40,140715,1274000,140716,3521808,140734,17,
140915,16,140816,1586000,140817,3521072,140831,27,
141016,29,140916,1586000,140917,3521568,140932,13,
141117,16,141017,1274000,141018,3524544,141033,20,
141218,29,141118,1170000,141119,3525280,141134,8,
141319,32,141219,1274000,141220,3525628,141236,17,
141419,16,141319,1274000,141321,3518624,141337,19,
141519,22,141419,1274000,141420,3519708,141435,9,
141621,25,141520,1274000,141521,3520952,141538,14,
141721,32,141622,1482000,141623,3520952,141639,18,
141821,29,141722,1274000,141723,3521324,141739,19,
141921,27,141821,1586000,141822,3520376,141836,19,
142022,10,141922,1482000,141923,3524096,141937,18,
142123,40,142023,1170000,142024,3524592,142039,6,
142225,30,142124,1482000,142125,3525040,142141,25,
142324,30,142226,1170000,142227,3520392,142242,15,
142425,32,142325,1170000,142326,3519804,142342,15,
142526,28,142425,1274000,142427,3521932,142443,17,
142625,28,142526,1482000,142527,3522924,142544,18,
142727,21,142626,1586000,142627,3523668,142640,18,
142827,31,142727,1274000,142728,3527016,142747,14,
142929,12,142827,1482000,142828,3526276,142841,20,
143029,33,142930,1170000,142932,3526276,142955,12,
143131,28,143030,1274000,143031,3526276,143052,20,
143232,29,143132,1170000,143133,3526524,143151,15,
143332,37,143233,1170000,143234,3526624,143253,14,
143432,36,143332,1170000,143334,3524700,143352,21,
143532,30,143433,1170000,143434,3522432,143450,21,
143633,32,143533,1378000,143534,3522680,143550,19,
143735,28,143634,1378000,143635,3521068,143653,18,
143835,33,143735,1170000,143736,3521560,143753,16,
143936,30,143836,1482000,143837,3524536,143855,21,
144037,22,143936,1170000,143938,3524784,143958,19,
144138,14,144037,1170000,144039,3524740,144056,14,
144239,30,144139,1170000,144141,3524988,144163,12,
144338,35,144240,1170000,144242,3525732,144263,18,
144439,24,144338,1586000,144340,3525608,144356,20,
144540,18,144439,1482000,144441,3525956,144456,16,
144640,7,144541,1482000,144542,3526204,144557,12,
144740,31,144640,1170000,144641,3526452,144656,5,
144791,34,144741,1586000,144742,3523488,144761,20,
144891,24,144791,1586000,144792,3522256,144806,23,
144992,24,144891,1586000,144892,3520316,144907,16,
145092,29,144992,1170000,144994,3520556,145009,13,
145194,43,145093,1170000,145094,3522532,145115,16,
145294,50,145194,1378000,145196,3524304,145212,22,
145394,25,145295,1482000,145296,3524432,145316,29,
145495,24,145395,1586000,145396,3523532,145411,18,
145596,10,145495,1586000,145496,3522216,145510,18,
145696,33,145596,1170000,145597,3522604,145614,7,
145797,25,145697,1482000,145698,3527068,145715,20,
145897,27,145797,1170000,145798,3527072,145816,14,
145998,24,145898,1378000,145899,3525988,145914,18,
146099,30,145999,1378000,146000,3525052,146015,16,
146199,30,146099,1378000,146101,3526304,146116,19,
146300,23,146199,1586000,146200,3526800,146214,19,
146400,29,146301,1066000,146302,3530272,146319,15,
146501,11,146401,1378000,146402,3527808,146417,16,
146601,40,146501,1170000,146502,3527808,146522,6,
146702,33,146602,1482000,146603,3526576,146616,25,
146804,32,146703,1170000,146704,3526500,146720,19,
146905,35,146804,1170000,146805,3526996,146821,16,
147006,40,146905,1274000,146906,3525768,146925,21,
147107,30,147007,1378000,147008,3525872,147024,24,
147208,20,147107,1586000,147108,3525872,147123,18,
147308,28,147208,1170000,147210,3526308,147229,13,
147409,12,147309,1170000,147310,3522412,147327,14,
147510,35,147409,1170000,147410,3522908,147425,6,
147610,25,147510,1378000,147511,3526536,147528,23,
147711,17,147611,1274000,147612,3526096,147628,15,
147811,25,147711,1274000,147712,3527308,147729,10,
147912,35,147812,1378000,147813,3527988,147827,14,
148013,38,147913,1274000,147914,3528732,147930,20,
148113,21,148014,1378000,148015,3527896,148030,23,
148213,28,148113,1482000,148115,3530088,148131,16,
148314,29,148214,1378000,148215,3529940,148231,17,
148415,34,148315,1378000,148316,3530188,148333,16,
148516,34,148415,1378000,148417,3524468,148434,21,
148616,42,148516,1170000,148517,3524584,148536,18,
148717,27,148617,1586000,148618,3523996,148634,29,
148818,33,148718,1170000,148719,3524668,148744,17,
148920,25,148818,1482000,148819,3524860,148834,24,
149019,25,148921,1482000,148927,3527836,148942,14,
149125,19,149019,1586000,149020,3528184,149034,20,
149222,40,149126,1274000,149127,3528432,149147,13,
149321,15,149223,1274000,149224,3527004,149243,23,
149422,31,149321,1274000,149323,3527204,149347,12,
149522,28,149422,1170000,149424,3527896,149444,17,
149623,28,149522,1170000,149524,3530128,149546,15,
149723,30,149623,1378000,149624,3530476,149652,16,
149824,36,149724,1274000,149726,3530872,149752,18,
149924,22,149824,1482000,149826,3524060,149843,23,
150025,29,149925,1170000,149927,3524060,149948,14,
150125,31,150025,1274000,150026,3527524,150044,17,
150229,26,150126,1170000,150127,3528764,150151,18,
150331,26,150230,1170000,150231,3528820,150257,16,
150430,34,150332,1170000,150335,3527340,150360,17,
150531,30,150431,1274000,150435,3528772,150468,19,
