Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%]
26703,310000,41810,0,41811,100,41812,1337764,112132.989247312,41819,100
26803,310000,41911,0,41913,100,41929,1338260,112628.989247312,41936,100
26904,310000,42011,0,42013,100,42014,1338408,112776.989247312,42039,100
27004,310000,42112,0,42113,100,42114,1337092,111460.989247312,42147,100
27105,310000,42212,0,42213,97,42214,1337584,111952.989247312,42219,97
27205,310000,42313,0,42314,100,42315,1337680,112048.989247312,42320,100
27305,310000,42413,0,42414,100,42415,1337928,112296.989247312,42452,100
27406,310000,42514,0,42515,100,42516,1338548,112916.989247312,42522,100
27511,310000,42619,28,42620,97,42621,1337356,111724.989247312,42629,97
27612,310000,42720,28,42721,97,42722,1338012,112380.989247312,42747,97
27713,310000,42821,28,42822,97,42823,1338664,113032.989247312,42846,97
27813,310000,42921,28,42922,97,42922,1338936,113304.989247312,42935,97
27925,310000,43033,28,43034,100,43035,1337156,111524.989247312,43041,100
28025,310000,43133,28,43134,100,43135,1337468,111836.989247312,43140,100
28127,310000,43235,28,43237,100,43238,1337960,112328.989247312,43243,100
28227,310000,43335,28,43336,100,43337,1338580,112948.989247312,43342,100
28328,310000,43436,28,43437,100,43438,1339272,113640.989247312,43444,100
28428,310000,43536,28,43537,97,43538,1338512,112880.989247312,43558,97
28531,310000,43639,28,43641,100,43642,1339204,113572.989247312,43665,100
28631,310000,43739,28,43740,100,43741,1344536,118904.989247312,43748,100
28733,310000,43841,28,43842,100,43843,1345716,120084.989247312,43860,100
28834,310000,43942,28,43943,100,43944,1347764,122132.989247312,43950,100
28935,310000,44042,28,44043,100,44044,1350456,124824.989247312,44049,100
29035,310000,44143,0,44144,100,44145,1347428,121796.989247312,44150,100
29135,310000,44243,0,44244,100,44245,1347568,121936.989247312,44250,100
29236,310000,44344,0,44345,100,44346,1347532,121900.989247312,44352,100
29336,310000,44444,0,44445,100,44446,1347596,121964.989247312,44451,100
29437,310000,44546,0,44547,100,44548,1341100,115468.989247312,44568,100
29557,310000,44665,26,44666,92,44667,1339532,113900.989247312,44685,92
29639,310000,44746,26,44747,100,44748,1339528,113896.989247312,44752,100
29739,310000,44847,26,44848,100,44849,1340688,115056.989247312,44856,100
29842,310000,44949,26,44951,100,44952,1341176,115544.989247312,44971,100
29940,310000,45047,0,45049,97,45051,1341928,116296.989247312,45061,97
30040,310000,45148,0,45149,100,45151,1343092,117460.989247312,45161,100
30141,310000,45248,0,45279,98,45280,1340792,115160.989247312,45295,98
30241,310000,45349,0,45351,100,45352,1341500,115868.989247312,45379,100
30341,310000,45450,0,45451,100,45453,1342696,117064.989247312,45470,100
30442,310000,45551,0,45552,100,45554,1343260,117628.989247312,45563,100
30543,310000,45650,0,45652,100,45653,1341804,116172.989247312,45659,100
30644,310000,45752,0,45753,100,45760,1342092,116460.989247312,45775,100
30744,310000,45852,0,45854,100,45856,1342588,116956.989247312,45861,100
30845,310000,45953,27,45954,97,45967,1343056,117424.989247312,45973,95
30946,310000,46054,27,46055,97,46056,1343944,118312.989247312,46091,100
31048,310000,46157,27,46165,100,46175,1341500,115868.989247312,46201,100
31149,310000,46256,27,46258,100,46262,1341996,116364.989247312,46275,100
31249,200000,46357,27,46359,100,46360,1342632,117000.989247312,46393,100
31350,200000,46458,27,46462,100,46465,1343284,117652.989247312,46485,100
31450,310000,46558,27,46559,100,46560,1341976,116344.989247312,46566,100
31551,310000,46659,27,46660,95,46661,1342376,116744.989247312,46677,95
31651,310000,46761,27,46762,92,46763,1342624,116992.989247312,46771,91
31752,310000,46860,27,46861,90,46862,1343868,118236.989247312,46871,90
