Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%]
17305,310000,26365,47,26367,32,26368,1208460,0,26378,32
17406,310000,26466,47,26469,28,26470,1208892,0,26475,20
17507,310000,26568,48,26572,23,26578,1209512,0,26595,19
17609,310000,26670,48,26672,32,26674,1210008,0,26685,22
17711,310000,26771,48,26774,26,26775,1210380,0,26785,21
17811,310000,26871,48,26872,33,26873,1208592,0,26877,25
17912,310000,26972,48,26973,22,26974,1209088,0,26978,17
18013,310000,27073,48,27074,30,27075,1209460,0,27081,23
18114,310000,27174,48,27175,20,27176,1209956,0,27182,14
18215,310000,27275,48,27276,40,27277,1209164,0,27284,31
18315,310000,27375,48,27377,23,27378,1209288,0,27384,16
18417,310000,27477,48,27478,23,27479,1209448,0,27489,15
18518,310000,27578,48,27579,18,27580,1209944,0,27586,14
18619,310000,27679,48,27681,18,27682,1210564,0,27703,15
18720,310000,27780,52,27781,37,27782,1208688,0,27793,27
18820,310000,27880,52,27881,24,27882,1208932,0,27891,18
18921,310000,27981,52,27982,31,27983,1209620,0,27989,26
19022,310000,28081,52,28082,41,28083,1210116,0,28087,42
19122,310000,28182,0,28183,37,28183,1208804,0,28192,34
19223,310000,28284,0,28286,23,28288,1209496,0,28301,22
19324,310000,28385,0,28387,31,28389,1209496,0,28396,24
19424,310000,28484,0,28486,28,28486,1209832,0,28491,19
19525,310000,28585,0,28587,38,28589,1208824,0,28595,29
19627,310000,28687,0,28689,30,28689,1209196,0,28695,19
19728,310000,28788,0,28789,33,28790,1209692,0,28795,24
19829,310000,28889,0,28891,30,28892,1210312,0,28898,21
19930,310000,28990,46,28993,22,28994,1210684,0,29004,15
20031,310000,29091,46,29092,36,29093,1209028,0,29098,29
20132,200000,29192,46,29193,24,29194,1209276,0,29204,19
20233,310000,29293,46,29295,19,29297,1209772,0,29310,18
20334,310000,29394,46,29395,42,29396,1210044,0,29408,26
20450,310000,29510,46,29511,37,29512,1208964,0,29520,29
20500,310000,29560,46,29561,42,29562,1209212,0,29569,26
20601,310000,29661,46,29663,31,29664,1209832,0,29671,25
20702,310000,29762,46,29763,30,29764,1209956,0,29771,26
20803,310000,29863,46,29864,28,29865,1210576,0,29875,23
20903,310000,29963,46,29964,30,29965,1208872,0,29973,25
21005,310000,30065,49,30069,38,30071,1209200,0,30078,26
21105,310000,30165,49,30168,32,30169,1209820,0,30175,28
