Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%],
302614,310000,302614,0,302616,100,302617,1310264,115931.148514851,302637,83,
302715,310000,302716,0,302718,100,302720,1308712,114379.148514851,302743,83,
302818,310000,302819,0,302820,100,302822,1309544,115211.148514851,302846,83,
302918,310000,302919,0,302921,100,302922,1309544,115211.148514851,302947,83,
303019,310000,303020,0,303021,100,303022,1309244,114911.148514851,303051,83,
303119,310000,303120,28,303122,97,303122,1309700,115367.148514851,303154,81,
303225,310000,303226,28,303227,100,303230,1310376,116043.148514851,303250,83,
303322,310000,303323,28,303326,100,303327,1308820,114487.148514851,303359,83,
303422,310000,303423,28,303424,100,303425,1309476,115143.148514851,303436,83,
303522,310000,303523,28,303524,100,303526,1309964,115631.148514851,303556,83,
303623,310000,303624,28,303625,100,303626,1310360,116027.148514851,303666,80,
303724,310000,303725,28,303727,100,303728,1311104,116771.148514851,303758,67,
303826,310000,303827,28,303828,100,303829,1309656,115323.148514851,303870,67,
303926,310000,303927,28,303929,100,303930,1309656,115323.148514851,303958,67,
304027,310000,304028,0,304029,100,304030,1309656,115323.148514851,304058,67,
304127,310000,304128,0,304130,100,304131,1309656,115323.148514851,304145,67,
304228,310000,304229,0,304230,100,304231,1309656,115323.148514851,304248,67,
304328,310000,304329,0,304331,100,304333,1310648,116315.148514851,304348,67,
304429,310000,304430,0,304432,100,304433,1310868,116535.148514851,304473,67,
304530,310000,304530,0,304537,97,304538,1311736,117403.148514851,304579,65,
304630,310000,304631,0,304633,100,304638,1311856,117523.148514851,304674,67,
304731,310000,304732,0,304733,100,304734,1311452,117119.148514851,304750,67,
304831,310000,304832,0,304834,100,304835,1311452,117119.148514851,304844,67,
304932,310000,304933,0,304935,100,304936,1311376,117043.148514851,304943,67,
305033,310000,305035,0,305037,97,305039,1311948,117615.148514851,305059,65,
305135,310000,305136,0,305138,100,305139,1310144,115811.148514851,305165,67,
305236,310000,305237,26,305238,100,305239,1310664,116331.148514851,305255,67,
305336,310000,305337,26,305339,100,305340,1311124,116791.148514851,305353,67,
305437,310000,305438,26,305440,100,305441,1311828,117495.148514851,305502,67,
305544,310000,305546,26,305547,97,305548,1312572,118239.148514851,305557,65,
305646,310000,305647,26,305649,100,305650,1310116,115783.148514851,305659,67,
305747,310000,305748,26,305749,92,305753,1310664,116331.148514851,305760,62,
305849,310000,305852,26,305856,85,305857,1311256,116923.148514851,305898,58,
305949,310000,305952,26,305953,100,305955,1311836,117503.148514851,305981,67,
306050,310000,306050,26,306052,100,306053,1312244,117911.148514851,306064,67,
306151,200000,306152,26,306154,100,306156,1310072,115739.148514851,306166,67,
306255,200000,306256,26,306258,100,306259,1310448,116115.148514851,306271,67,
306355,200000,306356,32,306358,97,306359,1309788,115455.148514851,306373,65,
306455,200000,306456,32,306457,97,306458,1310068,115735.148514851,306482,65,
306557,310000,306558,32,306560,95,306561,1310744,116411.148514851,306575,64,
306657,310000,306662,32,306664,100,306665,1308944,114611.148514851,306678,67,
306766,310000,306766,32,306773,100,306776,1309540,115207.148514851,306809,67,
306866,310000,306868,32,306869,100,306870,1309912,115579.148514851,306891,67,
306972,310000,306973,32,306975,100,306977,1310036,115703.148514851,306994,67,
307069,310000,307069,32,307071,97,307072,1310976,116643.148514851,307081,65,
307172,310000,307174,32,307279,100,307280,1309092,114759.148514851,307290,67,
307291,200000,307292,32,307293,100,307295,1309092,114759.148514851,307306,67,
307389,310000,307391,32,307393,100,307394,1309688,115355.148514851,307426,67,
307439,310000,307441,32,307444,100,307445,1309436,115103.148514851,307462,64,
307545,310000,307547,27,307549,92,307550,1310692,116359.148514851,307561,63,
307646,310000,307647,27,307648,78,307649,1311032,116699.148514851,307665,52,
307747,310000,307748,27,307750,90,307757,1307820,113487.148514851,307767,61,
307847,310000,307848,27,307851,73,307865,1308556,114223.148514851,307873,51,
307948,310000,307949,27,307950,100,307951,1309052,114719.148514851,307974,67,
308049,310000,308049,27,308052,100,308053,1309300,114967.148514851,308085,67,
308149,310000,308150,27,308151,100,308152,1309536,115203.148514851,308180,67,
308250,310000,308251,0,308253,100,308254,1310352,116019.148514851,308299,67,
308350,310000,308351,0,308352,100,308353,1306900,112567.148514851,308377,67,
308451,310000,308452,0,308453,97,308454,1307520,113187.148514851,308497,65,
308551,310000,308551,0,308553,100,308554,1308076,113743.148514851,308574,67,
308651,310000,308652,0,308653,100,308655,1308876,114543.148514851,308679,67,
308755,310000,308756,0,308758,97,308759,1307200,112867.148514851,308773,65,
308856,310000,308857,0,308858,100,308859,1307200,112867.148514851,308871,67,
308957,310000,308958,32,308964,100,308967,1307728,113395.148514851,308983,67,
