App,Package,Start Time,Duration,Filename
"System",,"Jan. 5, 2018 @ 11:22:52 PM","7 min 23 sec",""

Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
41155,310000,41155,30,41157,97,41158,1335632,41172,97,
41256,310000,41257,30,41258,100,41261,1336500,41300,100,
41306,310000,41307,30,41308,100,41309,1336772,41313,100,
41407,310000,41407,30,41408,97,41409,1337316,41424,97,
41507,310000,41508,0,41510,100,41511,1337316,41540,100,
41608,310000,41615,0,41617,97,41619,1337512,41644,97,
41710,310000,41711,0,41714,100,41719,1337640,41738,100,
41810,310000,41810,0,41811,100,41812,1337764,41819,100,
41910,310000,41911,0,41913,100,41929,1338260,41936,100,
42011,310000,42011,0,42013,100,42014,1338408,42039,100,
42111,310000,42112,0,42113,100,42114,1337092,42147,100,
42212,310000,42212,0,42213,97,42214,1337584,42219,97,
42312,310000,42313,0,42314,100,42315,1337680,42320,100,
42412,310000,42413,0,42414,100,42415,1337928,42452,100,
42513,310000,42514,0,42515,100,42516,1338548,42522,100,
42618,310000,42619,28,42620,97,42621,1337356,42629,97,
42719,310000,42720,28,42721,97,42722,1338012,42747,97,
42820,310000,42821,28,42822,97,42823,1338664,42846,97,
42920,310000,42921,28,42922,97,42922,1338936,42935,97,
43032,310000,43033,28,43034,100,43035,1337156,43041,100,
43132,310000,43133,28,43134,100,43135,1337468,43140,100,
43234,310000,43235,28,43237,100,43238,1337960,43243,100,
43334,310000,43335,28,43336,100,43337,1338580,43342,100,
43435,310000,43436,28,43437,100,43438,1339272,43444,100,
43535,310000,43536,28,43537,97,43538,1338512,43558,97,
43638,310000,43639,28,43641,100,43642,1339204,43665,100,
43738,310000,43739,28,43740,100,43741,1344536,43748,100,
43840,310000,43841,28,43842,100,43843,1345716,43860,100,
43941,310000,43942,28,43943,100,43944,1347764,43950,100,
44042,310000,44042,28,44043,100,44044,1350456,44049,100,
44142,310000,44143,0,44144,100,44145,1347428,44150,100,
44242,310000,44243,0,44244,100,44245,1347568,44250,100,
44343,310000,44344,0,44345,100,44346,1347532,44352,100,
44443,310000,44444,0,44445,100,44446,1347596,44451,100,
44544,310000,44546,0,44547,100,44548,1341100,44568,100,
44664,310000,44665,26,44666,92,44667,1339532,44685,92,
44746,310000,44746,26,44747,100,44748,1339528,44752,100,
44846,310000,44847,26,44848,100,44849,1340688,44856,100,
44949,310000,44949,26,44951,100,44952,1341176,44971,100,
45047,310000,45047,0,45049,97,45051,1341928,45061,97,
45147,310000,45148,0,45149,100,45151,1343092,45161,100,
45248,310000,45248,0,45279,98,45280,1340792,45295,98,
45348,310000,45349,0,45351,100,45352,1341500,45379,100,
45448,310000,45450,0,45451,100,45453,1342696,45470,100,
45549,310000,45551,0,45552,100,45554,1343260,45563,100,
45650,310000,45650,0,45652,100,45653,1341804,45659,100,
45751,310000,45752,0,45753,100,45760,1342092,45775,100,
45851,310000,45852,0,45854,100,45856,1342588,45861,100,
45952,310000,45953,27,45954,97,45967,1343056,45973,95,
46053,310000,46054,27,46055,97,46056,1343944,46091,100,
46155,310000,46157,27,46165,100,46175,1341500,46201,100,
46256,310000,46256,27,46258,100,46262,1341996,46275,100,
46356,200000,46357,27,46359,100,46360,1342632,46393,100,
46457,200000,46458,27,46462,100,46465,1343284,46485,100,
