Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
28090,400000,28091,51,28092,42,28093,1193956,28098,43,
28191,400000,28192,51,28193,30,28194,1192156,28201,27,
28291,310000,28292,51,28293,29,28294,1192280,28300,20,
28391,310000,28392,52,28393,21,28394,1192804,28399,14,
28492,310000,28493,52,28494,22,28495,1193300,28501,17,
28593,310000,28599,52,28602,33,28604,1191464,28612,24,
28693,310000,28694,52,28697,18,28699,1191556,28717,9,
28796,310000,28798,52,28804,19,28808,1192272,28813,20,
28897,310000,28898,52,28903,28,28906,1192768,28916,22,
28998,310000,29000,52,29005,31,29009,1193388,29030,21,
29098,310000,29099,52,29101,32,29102,1191288,29110,20,
29199,310000,29201,52,29204,17,29207,1191784,29212,17,
29299,310000,29301,52,29304,24,29306,1192404,29312,21,
29400,310000,29402,52,29405,27,29406,1193024,29415,20,
29501,310000,29502,46,29504,34,29506,1191308,29513,26,
29602,310000,29604,46,29608,29,29609,1191464,29616,16,
29703,310000,29707,46,29710,20,29711,1191652,29718,14,
29805,310000,29807,46,29810,27,29811,1192396,29820,18,
29909,310000,29910,46,29913,26,29915,1191112,29923,21,
30005,310000,30006,46,30007,24,30008,1191472,30014,15,
30106,310000,30107,46,30109,13,30110,1191940,30115,10,
30206,310000,30208,46,30209,26,30211,1192684,30220,17,
30309,310000,30314,46,30317,31,30318,1190960,30326,23,
30408,310000,30409,46,30410,17,30412,1191084,30419,14,
30508,310000,30509,46,30511,39,30514,1191848,30526,37,
30609,400000,30609,46,30611,54,30611,1193076,30625,52,
30709,400000,30710,48,30713,54,30715,1193904,30731,59,
30810,400000,30810,48,30811,55,30812,1193640,30819,50,
30911,400000,30912,48,30914,43,30916,1191388,30926,47,
31011,400000,31011,48,31012,27,31013,1191468,31021,22,
31111,310000,31112,48,31113,20,31114,1191964,31124,22,
31211,310000,31212,48,31213,20,31214,1190080,31221,16,
31312,310000,31313,48,31314,12,31315,1190304,31322,15,
31413,310000,31413,48,31414,15,31415,1190748,31422,10,
31513,310000,31514,48,31518,22,31521,1191740,31539,21,
31616,310000,31619,48,31633,26,31636,1190252,31652,24,
31718,310000,31720,48,31723,32,31724,1190284,31742,24,
31824,310000,31827,48,31830,28,31832,1190656,31843,18,
31926,310000,31928,48,31932,36,31934,1191144,31946,30,
32031,310000,32034,52,32044,40,32045,1190020,32051,30,
32132,310000,32134,52,32140,27,32141,1190264,32147,18,
32233,310000,32235,52,32239,23,32241,1190740,32248,17,
32334,310000,32336,52,32339,29,32341,1191360,32349,20,
32434,310000,32436,52,32441,11,32445,1191732,32468,10,
32534,310000,32536,52,32538,40,32540,1190276,32551,32,
32636,310000,32638,52,32643,22,32646,1190848,32664,21,
32745,310000,32748,52,32750,31,32753,1191468,32760,18,
32838,310000,32841,52,32847,19,32849,1191964,32862,19,
32887,310000,32888,52,32889,45,32890,1190012,32894,30,
32988,310000,32989,52,32990,8,32991,1190508,32994,8,
33089,310000,33090,49,33091,21,33092,1190632,33098,16,
33190,310000,33191,49,33192,21,33193,1191060,33200,15,
33290,310000,33291,49,33293,26,33294,1191680,33303,19,
33391,310000,33392,49,33394,31,33395,1190244,33402,20,
33492,310000,33492,49,33494,22,33495,1190736,33500,16,
33592,310000,33593,49,33595,15,33596,1191232,33604,10,
33693,310000,33694,49,33696,29,33697,1191696,33704,17,
33793,310000,33794,49,33796,32,33797,1190308,33803,25,
33894,310000,33895,49,33897,22,33898,1190308,33902,17,
33995,310000,33996,49,33997,24,33998,1190684,34003,18,
34096,310000,34097,45,34099,20,34100,1191304,34107,13,
34196,310000,34197,45,34199,25,34200,1192172,34207,20,
34297,310000,34298,45,34299,28,34300,1190884,34306,18,
34398,310000,34398,45,34400,22,34402,1191256,34410,15,
34498,310000,34499,45,34501,22,34502,1191544,34510,14,
34599,310000,34604,45,34606,20,34607,1192152,34613,14,
34700,310000,34702,45,34703,28,34705,1190428,34712,20,
34802,310000,34803,45,34805,21,34806,1190676,34813,13,
34902,310000,34903,45,34904,17,34906,1190300,34916,11,
35003,400000,35004,45,35005,18,35006,1191168,35012,14,
35103,400000,35104,42,35105,27,35106,1190236,35110,22,
35206,310000,35207,42,35208,26,35208,1190560,35213,18,
35307,310000,35308,42,35310,21,35311,1191180,35317,14,
35407,310000,35409,42,35410,17,35411,1191552,35418,12,
35508,310000,35509,42,35511,18,35513,1192048,35520,12,
35608,310000,35609,42,35611,30,35612,1190336,35619,21,
35709,310000,35710,42,35712,24,35713,1190772,35719,16,
35810,310000,35811,42,35812,18,35813,1191020,35819,16,
35911,310000,35911,42,35913,20,35914,1191516,35927,14,
36011,310000,36012,42,36013,39,36014,1184008,36020,29,
36112,310000,36113,42,36114,21,36115,1184008,36120,17,
36212,310000,36213,42,36215,18,36216,1184360,36222,13,
36313,310000,36314,48,36316,20,36316,1184732,36321,15,
36413,310000,36414,48,36417,42,36418,1183028,36423,30,
36514,310000,36515,48,36517,30,36518,1183560,36522,23,
36615,310000,36617,48,36618,24,36620,1184056,36628,18,
36716,310000,36717,48,36720,18,36722,1184592,36729,12,
36817,310000,36818,48,36821,18,36824,1184964,36836,15,
36917,310000,36918,48,36920,30,36921,1183264,36928,19,
37018,310000,37019,48,37022,19,37023,1183688,37030,13,
37119,200000,37120,48,37122,18,37123,1184296,37128,12,
37220,200000,37220,48,37222,20,37222,1184792,37228,14,
37320,200000,37321,51,37322,26,37323,1183000,37328,20,
37421,310000,37422,51,37424,22,37425,1183320,37431,16,
37522,310000,37523,51,37525,23,37526,1184052,37532,15,
37623,310000,37624,51,37626,30,37627,1184516,37634,19,
37724,310000,37725,51,37728,34,37729,1183436,37739,23,
37825,310000,37826,51,37827,32,37828,1183764,37836,24,
37926,310000,37927,51,37928,22,37929,1183764,37936,16,
38027,310000,38028,51,38030,18,38031,1184372,38038,13,
38129,310000,38131,51,38133,37,38136,1183064,38144,29,
38229,310000,38230,51,38232,46,38234,1183064,38239,35,
38330,310000,38331,51,38332,21,38333,1183308,38340,15,
38431,310000,38432,50,38433,18,38434,1184008,38442,18,
38531,310000,38532,50,38534,21,38536,1184628,38545,16,
38632,310000,38633,50,38634,23,38635,1183544,38640,19,
38733,310000,38734,50,38735,26,38736,1184004,38740,19,
38834,310000,38835,50,38837,30,38839,1184696,38847,19,
38935,310000,38936,50,38938,26,38940,1185192,38946,17,
39035,310000,39037,50,39039,41,39040,1183468,39046,30,
39136,310000,39137,50,39139,27,39139,1183920,39144,20,
39236,310000,39238,50,39239,21,39240,1184288,39246,14,
39337,310000,39338,50,39340,21,39340,1184784,39345,16,
39439,310000,39440,50,39442,23,39444,1185528,39452,16,
39540,310000,39541,47,39543,30,39544,1183948,39552,22,
39640,310000,39641,47,39643,22,39644,1184440,39652,15,
39741,310000,39742,47,39743,25,39744,1184612,39751,15,
39841,310000,39842,47,39844,22,39845,1184984,39852,17,
39944,310000,39947,47,39950,37,39951,1183428,39959,24,
40047,310000,40047,47,40049,27,40050,1183676,40059,20,
40148,310000,40149,47,40150,30,40152,1183600,40160,20,
40250,310000,40251,47,40253,29,40255,1183972,40263,21,
40350,310000,40351,47,40352,23,40353,1184516,40360,13,
40451,310000,40453,47,40455,33,40456,1183180,40463,24,
40553,310000,40554,45,40556,26,40557,1183552,40564,16,
40654,310000,40655,45,40656,25,40657,1183944,40663,16,
40755,310000,40756,45,40758,20,40759,1184316,40765,13,
40856,310000,40860,45,40864,40,40866,1182840,40874,29,
40960,400000,40961,45,40962,26,40963,1183076,40969,17,
41060,310000,41061,45,41062,16,41063,1183536,41073,11,
41161,310000,41162,45,41163,16,41164,1184156,41172,12,
41262,310000,41263,45,41265,20,41267,1184524,41280,15,
41363,310000,41364,45,41366,27,41368,1182948,41376,17,
41464,310000,41465,45,41467,26,41469,1183364,41477,17,
41566,200000,41567,45,41570,23,41571,1183860,41577,14,
41667,200000,41668,48,41669,26,41670,1184464,41676,18,
41768,200000,41769,48,41770,26,41771,1182588,41777,23,
41869,310000,41870,48,41873,23,41874,1183148,41883,21,
41969,310000,41972,48,41974,25,41976,1183520,41983,15,
42071,310000,42072,48,42073,27,42074,1184264,42080,18,
42176,310000,42177,48,42178,29,42179,1183060,42184,20,
42276,310000,42278,48,42279,13,42280,1183420,42288,10,
42377,310000,42378,48,42380,30,42381,1184164,42390,20,
42478,310000,42479,48,42481,19,42482,1184784,42488,13,
42581,310000,42582,48,42584,35,42585,1183036,42590,27,
42682,310000,42683,48,42685,15,42685,1183504,42690,12,
42784,310000,42785,48,42787,26,42788,1184000,42795,16,
42884,310000,42885,51,42886,23,42887,1184620,42892,16,
42986,310000,42987,51,42989,26,42990,1185240,42998,20,
43087,310000,43088,51,43091,34,43092,1183800,43100,22,
43188,310000,43189,51,43192,25,43193,1183924,43199,16,
43289,310000,43290,51,43292,30,43293,1184048,43299,21,
43390,310000,43391,51,43393,22,43394,1184668,43401,15,
43491,310000,43492,51,43494,35,43495,1182776,43500,25,
43591,310000,43592,51,43593,35,43594,1183684,43598,33,
43692,310000,43692,51,43694,37,43694,1184376,43699,40,
43792,310000,43793,51,43794,50,43795,1184928,43800,49,
43893,310000,43893,51,43894,47,43895,1183872,43900,46,
43993,310000,43994,51,43995,40,43996,1184120,44001,39,
44094,310000,44095,51,44096,26,44097,1184492,44105,18,
44195,310000,44196,49,44197,38,44198,1185112,44205,27,
44296,310000,44297,49,44298,37,44300,1183608,44305,28,
44396,310000,44397,49,44398,13,44399,1183608,44406,11,
44497,310000,44498,49,44500,21,44502,1184188,44513,16,
44598,310000,44599,49,44602,28,44604,1184672,44613,20,
44699,310000,44703,49,44705,25,44707,1185540,44720,18,
44801,310000,44803,49,44805,28,44806,1184328,44812,17,
44901,310000,44903,49,44904,20,44905,1184576,44911,14,
45002,310000,45004,49,45006,21,45007,1184948,45013,14,
45103,310000,45104,49,45106,18,45108,1185444,45118,12,
45204,310000,45205,46,45207,25,45208,1184012,45214,19,
45305,310000,45307,46,45309,27,45311,1184260,45318,18,
45406,310000,45407,46,45409,23,45410,1184464,45418,15,
45508,310000,45509,46,45510,28,45511,1184876,45518,18,
45609,310000,45609,46,45611,16,45613,1183800,45623,12,
45710,310000,45711,46,45713,28,45714,1184432,45721,21,
45811,310000,45812,46,45814,22,45815,1184680,45823,15,
45912,310000,45913,46,45915,25,45916,1185052,45926,17,
46013,310000,46029,46,46040,33,46041,1183940,46050,22,
46114,310000,46115,46,46116,31,46117,1183940,46124,28,
46215,310000,46216,46,46217,21,46218,1184676,46224,21,
46265,310000,46266,46,46270,33,46272,1192992,46279,35,
46366,400000,46366,46,46369,31,46370,1193388,46382,28,
46466,400000,46467,46,46469,46,46470,1192208,46480,43,
46567,400000,46568,46,46570,36,46572,1192332,46587,35,
46667,400000,46668,46,46669,51,46670,1192824,46679,44,
46768,310000,46770,46,46771,37,46772,1197488,46781,30,
46869,310000,46870,46,46871,50,46872,1199828,46880,45,
46969,310000,46970,46,46971,15,46972,1199976,46978,13,
47070,310000,47071,0,47072,20,47073,1200224,47078,13,
