Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%]
33951,12,33953,754000,33956,3430928,0,33977,4
34051,87,34051,754000,34052,3431176,0,34061,8
34152,31,34153,1066000,34153,3433964,0,34159,20
34253,56,34253,1170000,34253,3437180,0,34258,44
34353,34,34353,1066000,34354,3456592,12083.1737089204,34360,27
34453,25,34454,1066000,34454,3553808,109299.17370892,34461,20
34554,40,34554,1066000,34555,3609796,165287.17370892,34562,31
34656,40,34656,754000,34656,3568632,124123.17370892,34662,34
34754,39,34755,858000,34755,3589000,144491.17370892,34760,28
34955,0,34855,754000,34855,3584256,139747.17370892,34860,11
35057,10,34955,858000,34955,3585916,141407.17370892,34958,11
35157,41,35057,962000,35059,3589176,144667.17370892,35069,5
35258,40,35158,962000,35159,3585540,141031.17370892,35187,24
35358,23,35258,962000,35260,3581516,137007.17370892,35276,22
35459,20,35359,1378000,35360,3581224,136715.17370892,35382,13
35559,25,35459,1586000,35460,3580880,136371.17370892,35473,13
35660,27,35560,1586000,35561,3526324,81815.1737089204,35579,18
35761,27,35660,1586000,35661,3496044,51535.1737089204,35684,18
35861,17,35761,1586000,35762,3494804,50295.1737089204,35779,21
35961,38,35862,1586000,35863,3496292,51783.1737089204,35880,16
36062,35,35962,1586000,35963,3501812,57303.1737089204,35979,23
36162,23,36062,1586000,36063,3506292,61783.1737089204,36080,25
36263,19,36163,1586000,36164,3507284,62775.1737089204,36181,17
36363,24,36264,1586000,36264,3506004,61495.1737089204,36277,14
36464,32,36364,1586000,36365,3508484,63975.1737089204,36380,18
36564,23,36464,1586000,36465,3507696,63187.1737089204,36479,23
36665,33,36565,1586000,36566,3508604,64095.1737089204,36584,17
36767,39,36666,1586000,36667,3507160,62651.1737089204,36684,25
36866,26,36768,1586000,36769,3509608,65099.1737089204,36793,30
36967,23,36867,1586000,36868,3507392,62883.1737089204,36882,15
37067,15,36967,1586000,36968,3503300,58791.1737089204,36983,16
37168,32,37068,1586000,37069,3504028,59519.1737089204,37082,11
37268,26,37168,1586000,37169,3509236,64727.1737089204,37184,24
37369,25,37268,1586000,37269,3510476,65967.1737089204,37286,19
37469,29,37369,1586000,37371,3509940,65431.1737089204,37387,21
37570,31,37470,1586000,37471,3510600,66091.1737089204,37489,20
37671,21,37570,1586000,37571,3511592,67083.1737089204,37586,21
37771,25,37671,1586000,37673,3514292,69783.1737089204,37690,16
37872,29,37772,1586000,37773,3513920,69411.1737089204,37788,16
37973,37,37873,1586000,37874,3513476,68967.1737089204,37901,21
38073,41,37973,1586000,37975,3507016,62507.1737089204,37998,26
38173,34,38073,1586000,38074,3506280,61771.1737089204,38089,30
38275,37,38174,1586000,38175,3508452,63943.1737089204,38189,24
38378,26,38276,1586000,38277,3509212,64703.1737089204,38292,26
38475,32,38378,1586000,38380,3509956,65447.1737089204,38395,21
38576,11,38476,1586000,38478,3511948,67439.1737089204,38493,21
38676,39,38577,1586000,38578,3512180,67671.1737089204,38594,8
38779,25,38677,1586000,38678,3514792,70283.1737089204,38692,29
38878,16,38779,1586000,38781,3512632,68123.1737089204,38800,18
38979,33,38878,1482000,38880,3512880,68371.1737089204,38902,14
39078,36,38979,1586000,38983,3514524,70015.1737089204,39004,25
39179,24,39079,1586000,39080,3512260,67751.1737089204,39097,25
39279,18,39179,1586000,39180,3513004,68495.1737089204,39198,18
39380,21,39280,1586000,39281,3512856,68347.1737089204,39298,10
39482,27,39381,1586000,39382,3512216,67707.1737089204,39401,15
39582,24,39483,1586000,39484,3507620,63111.1737089204,39503,21
39682,33,39583,1586000,39585,3508272,63763.1737089204,39607,16
39783,57,39683,1586000,39685,3507912,63403.1737089204,39703,24
39884,38,39784,1586000,39785,3517440,72931.1737089204,39813,40
39984,23,39885,1586000,39886,3507876,63367.1737089204,39904,28
40087,22,39985,1586000,39986,3510852,66343.1737089204,40009,17
40189,28,40087,1586000,40089,3506596,62087.1737089204,40111,16
40286,29,40190,1586000,40191,3507704,63195.1737089204,40220,23
40386,21,40286,1586000,40287,3507952,63443.1737089204,40296,18
40487,12,40387,1586000,40388,3509192,64683.1737089204,40408,14
40587,33,40487,1586000,40488,3509936,65427.1737089204,40506,10
40689,25,40588,1586000,40589,3510432,65923.1737089204,40607,22
40792,29,40689,1586000,40691,3511052,66543.1737089204,40712,23
