Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%],
23685,17,23686,1170000,23687,3352796,0,23705,9,
23785,30,23786,1586000,23787,3351224,0,23804,18,
23886,30,23887,1586000,23888,3351472,0,23904,23,
23987,30,23987,1586000,23989,3351968,0,24006,22,
24087,26,24088,1586000,24089,3352216,0,24104,19,
24188,27,24189,1586000,24190,3348076,0,24209,19,
24289,35,24289,1586000,24291,3348572,0,24313,25,
24389,25,24390,1586000,24391,3346108,0,24406,16,
24492,10,24493,442000,24495,3346348,0,24519,6,
24593,27,24594,442000,24597,3346364,0,24620,9,
24692,26,24693,546000,24695,3346860,0,24718,11,
24793,19,24794,546000,24796,3347108,0,24821,7,
24893,28,24894,754000,24896,3347356,0,24932,10,
24993,32,24993,1378000,24995,3347604,0,25011,19,
25094,15,25095,858000,25097,3347852,0,25119,7,
25194,17,25195,1066000,25197,3348596,0,25217,8,
25297,10,25299,442000,25304,3349092,0,25328,5,
25396,20,25396,858000,25398,3349340,0,25423,7,
25496,25,25497,1378000,25498,3348588,0,25515,13,
25597,29,25598,1586000,25599,3347340,0,25617,21,
25697,30,25698,1586000,25699,3347588,0,25719,23,
25798,32,25798,1586000,25800,3347836,0,25822,23,
25898,28,25899,1586000,25900,3347592,0,25917,19,
26000,28,26001,1586000,26002,3347352,0,26028,23,
26100,27,26101,1586000,26103,3347600,0,26118,20,
26204,11,26205,442000,26207,3347600,0,26230,3,
26304,22,26306,442000,26308,3348096,0,26339,8,
26404,27,26405,962000,26409,3348344,0,26430,12,
26512,8,26513,858000,26514,3348192,0,26544,5,
26607,27,26608,442000,26611,3345892,0,26639,13,
26705,36,26706,1066000,26707,3348124,0,26735,14,
26806,16,26807,1274000,26808,3345652,0,26830,9,
26909,10,26910,442000,26912,3345900,0,26940,6,
27010,22,27012,442000,27014,3346148,0,27046,6,
27111,23,27112,858000,27113,3346580,0,27144,8,
27211,25,27213,442000,27215,3346188,0,27259,9,
27310,41,27311,1378000,27312,3344828,0,27332,20,
27411,30,27411,1586000,27413,3345340,0,27442,22,
27511,33,27512,1586000,27512,3345588,0,27535,20,
27611,28,27612,1586000,27613,3345852,0,27637,20,
27712,32,27713,1586000,27714,3344816,0,27743,23,
27813,33,27814,1586000,27814,3345064,0,27832,24,
27913,13,27914,1586000,27915,3345312,0,27940,9,
28016,11,28017,442000,28019,3345312,0,28046,6,
28116,15,28118,442000,28120,3345560,0,28146,6,
28215,17,28216,1066000,28217,3345808,0,28244,6,
28316,21,28316,1170000,28318,3344972,0,28336,11,
28416,17,28417,1170000,28418,3346828,0,28437,10,
28517,13,28518,1170000,28519,3347060,0,28538,7,
28619,14,28621,442000,28623,3347308,0,28651,6,
28721,34,28721,962000,28723,3347804,0,28757,16,
28818,35,28819,1586000,28820,3349276,0,28851,21,
28920,39,28921,1586000,28922,3349896,0,28947,24,
29019,50,29019,1586000,29020,3350568,0,29025,34,
29120,54,29121,1586000,29122,3350816,0,29161,35,
29220,59,29220,1586000,29221,3350816,0,29226,40,
29321,60,29321,1586000,29321,3351556,0,29327,39,
29423,44,29424,1586000,29425,3351832,0,29469,29,
29522,60,29522,1586000,29523,3351736,0,29528,41,
29623,32,29624,1586000,29625,3352176,0,29637,22,
29726,8,29727,442000,29729,3352424,0,29753,8,
29825,21,29826,962000,29827,3352672,0,29845,7,
29930,16,29932,442000,29936,3352920,0,29991,7,
30027,40,30027,1378000,30028,3352004,0,30047,22,
30128,12,30130,442000,30132,3352004,0,30159,8,
30227,35,30228,1378000,30229,3350228,0,30246,16,
30330,13,30331,442000,30333,3350228,0,30360,7,
30431,21,30432,442000,30434,3350228,0,30462,7,
30531,26,30533,442000,30535,3351060,0,30568,9,
30631,20,30632,1170000,30633,3350964,0,30650,11,
30733,18,30735,442000,30737,3350964,0,30763,8,
30832,29,30833,1586000,30834,3350224,0,30851,15,
30933,32,30933,1586000,30934,3350720,0,30943,23,
31033,87,31033,1586000,31034,3351000,0,31044,21,
31132,51,31133,1586000,31133,3349904,0,31138,39,
31232,46,31233,1586000,31233,3354632,0,31237,43,
31333,44,31333,1586000,31334,3372144,3975.5169082126,31340,39,
31433,31,31433,1170000,31434,3468368,100199.516908213,31440,25,
31533,29,31534,1066000,31534,3576620,208451.516908213,31538,24,
31635,87,31636,1066000,31637,3581036,212867.516908213,31654,18,
31734,39,31734,754000,31735,3586088,217919.516908213,31739,32,
31835,20,31835,754000,31835,3584084,215915.516908213,31840,11,
31935,0,31935,754000,31935,3585124,216955.516908213,31938,7,
32036,12,32037,1170000,32038,3588384,220215.516908213,32044,6,
32137,50,32138,1378000,32139,3577872,209703.516908213,32156,29,
32237,87,32238,1586000,32238,3580564,212395.516908213,32359,27,
32338,0,32338,1170000,32339,3583284,215115.516908213,32458,62,
32438,87,32438,1586000,32440,3580436,212267.516908213,32559,53,
32538,52,32539,1586000,32540,3573400,205231.516908213,32659,29,
32638,0,32639,1586000,32640,3576788,208619.516908213,32757,39,
32739,67,32739,1586000,32741,3577632,209463.516908213,32857,30,
32840,47,32840,1586000,32842,3499828,131659.516908213,32961,48,
32940,87,32941,1586000,32942,3501524,133355.516908213,33064,26,
33041,0,33042,754000,33044,3502560,134391.516908213,33164,41,
33141,80,33142,1586000,33143,3508016,139847.516908213,33258,33,
33241,59,33242,1586000,33243,3506836,138667.516908213,33357,34,
33342,62,33342,1586000,33343,3504820,136651.516908213,33457,33,
33442,53,33443,1586000,33444,3507488,139319.516908213,33561,23,
33543,38,33543,1586000,33544,3508572,140403.516908213,33663,40,
33643,66,33644,1586000,33645,3509192,141023.516908213,33761,39,
33744,64,33744,1586000,33745,3507568,139399.516908213,33860,33,
33844,60,33845,1586000,33846,3507372,139203.516908213,33964,31,
33945,50,33946,1586000,33947,3507328,139159.516908213,34065,30,
34046,49,34047,1586000,34048,3507548,139379.516908213,34166,32,
34147,59,34148,1586000,34149,3508292,140123.516908213,34264,27,
34247,49,34247,1586000,34248,3509036,140867.516908213,34363,36,
34347,61,34348,1586000,34349,3505832,137663.516908213,34463,29,
34447,53,34448,1586000,34449,3507708,139539.516908213,34574,21,
34548,28,34549,1586000,34550,3508076,139907.516908213,34667,32,
34648,68,34649,1378000,34650,3502912,134743.516908213,34767,37,
34751,67,34752,1586000,34753,3507084,138915.516908213,34885,33,
34851,58,34852,1586000,34853,3508076,139907.516908213,34958,35,
34951,59,34951,1586000,34952,3504876,136707.516908213,35069,29,
35052,50,35053,1586000,35054,3511976,143807.516908213,35171,43,
35153,70,35154,1586000,35155,3512664,144495.516908213,35273,32,
