execute_time,a_matrix_height,a_matrix_width,b_matrix_height,b_matrix_width,out_matrix_height,out_matrix_width
0.010416,[1,2048],[2048,1024],[1,1024]
0.003019,[1,1024],[1024,1008],[1,1008]
0.010331,[1,2048],[2048,1024],[1,1024]
0.003372,[1,1024],[1024,1008],[1,1008]
0.015275,[1,2048],[2048,1024],[1,1024]
0.002938,[1,1024],[1024,1008],[1,1008]
0.011372,[1,2048],[2048,1024],[1,1024]
0.005862,[1,1024],[1024,1008],[1,1008]
0.007553,[1,2048],[2048,1024],[1,1024]
0.00368,[1,1024],[1024,1008],[1,1008]
0.023333,[1,2048],[2048,1024],[1,1024]
0.002926,[1,1024],[1024,1008],[1,1008]
0.015992,[1,2048],[2048,1024],[1,1024]
0.003082,[1,1024],[1024,1008],[1,1008]
0.020792,[1,2048],[2048,1024],[1,1024]
0.003806,[1,1024],[1024,1008],[1,1008]
0.02662,[1,2048],[2048,1024],[1,1024]
0.003058,[1,1024],[1024,1008],[1,1008]
0.012741,[1,2048],[2048,1024],[1,1024]
0.006777,[1,1024],[1024,1008],[1,1008]
0.022981,[1,2048],[2048,1024],[1,1024]
0.003982,[1,1024],[1024,1008],[1,1008]
0.022485,[1,2048],[2048,1024],[1,1024]
0.005101,[1,1024],[1024,1008],[1,1008]
0.022993,[1,2048],[2048,1024],[1,1024]
0.003949,[1,1024],[1024,1008],[1,1008]
0.023021,[1,2048],[2048,1024],[1,1024]
0.005116,[1,1024],[1024,1008],[1,1008]
0.028367,[1,2048],[2048,1024],[1,1024]
0.003678,[1,1024],[1024,1008],[1,1008]
0.026485,[1,2048],[2048,1024],[1,1024]
0.005298,[1,1024],[1024,1008],[1,1008]
0.032614,[1,2048],[2048,1024],[1,1024]
0.004113,[1,1024],[1024,1008],[1,1008]
0.028383,[1,2048],[2048,1024],[1,1024]
0.006933,[1,1024],[1024,1008],[1,1008]
0.024893,[1,2048],[2048,1024],[1,1024]
0.011527,[1,1024],[1024,1008],[1,1008]
0.026006,[1,2048],[2048,1024],[1,1024]
0.005037,[1,1024],[1024,1008],[1,1008]
0.022697,[1,2048],[2048,1024],[1,1024]
0.010159,[1,1024],[1024,1008],[1,1008]
0.023314,[1,2048],[2048,1024],[1,1024]
0.004133,[1,1024],[1024,1008],[1,1008]
0.019199,[1,2048],[2048,1024],[1,1024]
0.00524,[1,1024],[1024,1008],[1,1008]
0.010026,[1,2048],[2048,1024],[1,1024]
0.003088,[1,1024],[1024,1008],[1,1008]
0.023942,[1,2048],[2048,1024],[1,1024]
0.00482,[1,1024],[1024,1008],[1,1008]
0.029001,[1,2048],[2048,1024],[1,1024]
0.008187,[1,1024],[1024,1008],[1,1008]
0.02185,[1,2048],[2048,1024],[1,1024]
0.006169,[1,1024],[1024,1008],[1,1008]
0.022495,[1,2048],[2048,1024],[1,1024]
0.005588,[1,1024],[1024,1008],[1,1008]
0.00979,[1,2048],[2048,1024],[1,1024]
0.003168,[1,1024],[1024,1008],[1,1008]
0.017922,[1,2048],[2048,1024],[1,1024]
0.002977,[1,1024],[1024,1008],[1,1008]
0.010607,[1,2048],[2048,1024],[1,1024]
0.003197,[1,1024],[1024,1008],[1,1008]
0.009431,[1,2048],[2048,1024],[1,1024]
0.005204,[1,1024],[1024,1008],[1,1008]
0.013056,[1,2048],[2048,1024],[1,1024]
0.005511,[1,1024],[1024,1008],[1,1008]
0.022789,[1,2048],[2048,1024],[1,1024]
0.008708,[1,1024],[1024,1008],[1,1008]
0.023008,[1,2048],[2048,1024],[1,1024]
0.007161,[1,1024],[1024,1008],[1,1008]
0.020392,[1,2048],[2048,1024],[1,1024]
0.011544,[1,1024],[1024,1008],[1,1008]
0.021166,[1,2048],[2048,1024],[1,1024]
0.009257,[1,1024],[1024,1008],[1,1008]
0.026873,[1,2048],[2048,1024],[1,1024]
0.006532,[1,1024],[1024,1008],[1,1008]
0.023279,[1,2048],[2048,1024],[1,1024]
0.008416,[1,1024],[1024,1008],[1,1008]
0.024679,[1,2048],[2048,1024],[1,1024]
0.00404,[1,1024],[1024,1008],[1,1008]
0.025511,[1,2048],[2048,1024],[1,1024]
0.006025,[1,1024],[1024,1008],[1,1008]
0.023481,[1,2048],[2048,1024],[1,1024]
0.005712,[1,1024],[1024,1008],[1,1008]
0.025178,[1,2048],[2048,1024],[1,1024]
0.00719,[1,1024],[1024,1008],[1,1008]
0.026897,[1,2048],[2048,1024],[1,1024]
0.003946,[1,1024],[1024,1008],[1,1008]
0.026289,[1,2048],[2048,1024],[1,1024]
0.003602,[1,1024],[1024,1008],[1,1008]
0.024566,[1,2048],[2048,1024],[1,1024]
0.008779,[1,1024],[1024,1008],[1,1008]
0.026177,[1,2048],[2048,1024],[1,1024]
0.009754,[1,1024],[1024,1008],[1,1008]
0.02466,[1,2048],[2048,1024],[1,1024]
0.003579,[1,1024],[1024,1008],[1,1008]
0.02924,[1,2048],[2048,1024],[1,1024]
0.016645,[1,1024],[1024,1008],[1,1008]
0.023512,[1,2048],[2048,1024],[1,1024]
0.014814,[1,1024],[1024,1008],[1,1008]
0.02339,[1,2048],[2048,1024],[1,1024]
0.004756,[1,1024],[1024,1008],[1,1008]
0.028184,[1,2048],[2048,1024],[1,1024]
0.005487,[1,1024],[1024,1008],[1,1008]
0.024319,[1,2048],[2048,1024],[1,1024]
0.015885,[1,1024],[1024,1008],[1,1008]
0.023599,[1,2048],[2048,1024],[1,1024]
0.004011,[1,1024],[1024,1008],[1,1008]
0.014963,[1,2048],[2048,1024],[1,1024]
0.005095,[1,1024],[1024,1008],[1,1008]
0.015968,[1,2048],[2048,1024],[1,1024]
0.005431,[1,1024],[1024,1008],[1,1008]
0.019715,[1,2048],[2048,1024],[1,1024]
0.013444,[1,1024],[1024,1008],[1,1008]
0.022486,[1,2048],[2048,1024],[1,1024]
0.00823,[1,1024],[1024,1008],[1,1008]
0.02612,[1,2048],[2048,1024],[1,1024]
0.006337,[1,1024],[1024,1008],[1,1008]
0.010992,[1,2048],[2048,1024],[1,1024]
0.00399,[1,1024],[1024,1008],[1,1008]
0.012744,[1,2048],[2048,1024],[1,1024]
0.003667,[1,1024],[1024,1008],[1,1008]
0.015177,[1,2048],[2048,1024],[1,1024]
0.003064,[1,1024],[1024,1008],[1,1008]
0.022575,[1,2048],[2048,1024],[1,1024]
0.009036,[1,1024],[1024,1008],[1,1008]
0.026586,[1,2048],[2048,1024],[1,1024]
0.009588,[1,1024],[1024,1008],[1,1008]
0.018624,[1,2048],[2048,1024],[1,1024]
0.003175,[1,1024],[1024,1008],[1,1008]
0.019009,[1,2048],[2048,1024],[1,1024]
0.006736,[1,1024],[1024,1008],[1,1008]
0.008443,[1,2048],[2048,1024],[1,1024]
0.006906,[1,1024],[1024,1008],[1,1008]
0.021274,[1,2048],[2048,1024],[1,1024]
0.003359,[1,1024],[1024,1008],[1,1008]
0.017517,[1,2048],[2048,1024],[1,1024]
0.003636,[1,1024],[1024,1008],[1,1008]
0.009981,[1,2048],[2048,1024],[1,1024]
0.00598,[1,1024],[1024,1008],[1,1008]
0.025113,[1,2048],[2048,1024],[1,1024]
0.005106,[1,1024],[1024,1008],[1,1008]
0.029351,[1,2048],[2048,1024],[1,1024]
0.005148,[1,1024],[1024,1008],[1,1008]
0.026478,[1,2048],[2048,1024],[1,1024]
0.00359,[1,1024],[1024,1008],[1,1008]
0.018609,[1,2048],[2048,1024],[1,1024]
0.00307,[1,1024],[1024,1008],[1,1008]
0.015863,[1,2048],[2048,1024],[1,1024]
0.003018,[1,1024],[1024,1008],[1,1008]
0.012358,[1,2048],[2048,1024],[1,1024]
0.003134,[1,1024],[1024,1008],[1,1008]
0.017449,[1,2048],[2048,1024],[1,1024]
0.003384,[1,1024],[1024,1008],[1,1008]
0.012711,[1,2048],[2048,1024],[1,1024]
0.003463,[1,1024],[1024,1008],[1,1008]
0.020145,[1,2048],[2048,1024],[1,1024]
0.00325,[1,1024],[1024,1008],[1,1008]
0.021748,[1,2048],[2048,1024],[1,1024]
0.003521,[1,1024],[1024,1008],[1,1008]
0.025214,[1,2048],[2048,1024],[1,1024]
0.003943,[1,1024],[1024,1008],[1,1008]
0.025859,[1,2048],[2048,1024],[1,1024]
0.005391,[1,1024],[1024,1008],[1,1008]
0.026404,[1,2048],[2048,1024],[1,1024]
0.010686,[1,1024],[1024,1008],[1,1008]
0.024686,[1,2048],[2048,1024],[1,1024]
0.006724,[1,1024],[1024,1008],[1,1008]
0.024675,[1,2048],[2048,1024],[1,1024]
0.004952,[1,1024],[1024,1008],[1,1008]
0.030114,[1,2048],[2048,1024],[1,1024]
0.01464,[1,1024],[1024,1008],[1,1008]
0.027313,[1,2048],[2048,1024],[1,1024]
0.00531,[1,1024],[1024,1008],[1,1008]
0.020905,[1,2048],[2048,1024],[1,1024]
0.006396,[1,1024],[1024,1008],[1,1008]
0.022687,[1,2048],[2048,1024],[1,1024]
0.011607,[1,1024],[1024,1008],[1,1008]
0.025487,[1,2048],[2048,1024],[1,1024]
0.012054,[1,1024],[1024,1008],[1,1008]
0.024429,[1,2048],[2048,1024],[1,1024]
0.004947,[1,1024],[1024,1008],[1,1008]
0.029308,[1,2048],[2048,1024],[1,1024]
0.011094,[1,1024],[1024,1008],[1,1008]
0.02763,[1,2048],[2048,1024],[1,1024]
0.010257,[1,1024],[1024,1008],[1,1008]
0.027577,[1,2048],[2048,1024],[1,1024]
0.004337,[1,1024],[1024,1008],[1,1008]
0.027099,[1,2048],[2048,1024],[1,1024]
0.003716,[1,1024],[1024,1008],[1,1008]
0.026547,[1,2048],[2048,1024],[1,1024]
0.017554,[1,1024],[1024,1008],[1,1008]
0.022907,[1,2048],[2048,1024],[1,1024]
0.007863,[1,1024],[1024,1008],[1,1008]
0.023647,[1,2048],[2048,1024],[1,1024]
0.003012,[1,1024],[1024,1008],[1,1008]
0.028211,[1,2048],[2048,1024],[1,1024]
0.004488,[1,1024],[1024,1008],[1,1008]
0.023599,[1,2048],[2048,1024],[1,1024]
0.003472,[1,1024],[1024,1008],[1,1008]
0.027798,[1,2048],[2048,1024],[1,1024]
0.00559,[1,1024],[1024,1008],[1,1008]
0.023229,[1,2048],[2048,1024],[1,1024]
0.006462,[1,1024],[1024,1008],[1,1008]
0.021878,[1,2048],[2048,1024],[1,1024]
0.008216,[1,1024],[1024,1008],[1,1008]
0.020033,[1,2048],[2048,1024],[1,1024]
0.005983,[1,1024],[1024,1008],[1,1008]
0.020589,[1,2048],[2048,1024],[1,1024]
0.015747,[1,1024],[1024,1008],[1,1008]
0.025266,[1,2048],[2048,1024],[1,1024]
0.007767,[1,1024],[1024,1008],[1,1008]
0.023777,[1,2048],[2048,1024],[1,1024]
0.007946,[1,1024],[1024,1008],[1,1008]
0.022151,[1,2048],[2048,1024],[1,1024]
0.007401,[1,1024],[1024,1008],[1,1008]
0.028169,[1,2048],[2048,1024],[1,1024]
0.004371,[1,1024],[1024,1008],[1,1008]
0.025101,[1,2048],[2048,1024],[1,1024]
0.005389,[1,1024],[1024,1008],[1,1008]
0.025506,[1,2048],[2048,1024],[1,1024]
0.012948,[1,1024],[1024,1008],[1,1008]
0.025327,[1,2048],[2048,1024],[1,1024]
0.011024,[1,1024],[1024,1008],[1,1008]
0.026115,[1,2048],[2048,1024],[1,1024]
0.007168,[1,1024],[1024,1008],[1,1008]
0.024783,[1,2048],[2048,1024],[1,1024]
0.00993,[1,1024],[1024,1008],[1,1008]
0.023784,[1,2048],[2048,1024],[1,1024]
0.006624,[1,1024],[1024,1008],[1,1008]
0.022854,[1,2048],[2048,1024],[1,1024]
0.011227,[1,1024],[1024,1008],[1,1008]
0.020154,[1,2048],[2048,1024],[1,1024]
0.004059,[1,1024],[1024,1008],[1,1008]
0.020613,[1,2048],[2048,1024],[1,1024]
0.006719,[1,1024],[1024,1008],[1,1008]
0.020972,[1,2048],[2048,1024],[1,1024]
0.003034,[1,1024],[1024,1008],[1,1008]
0.02795,[1,2048],[2048,1024],[1,1024]
0.006605,[1,1024],[1024,1008],[1,1008]
0.024407,[1,2048],[2048,1024],[1,1024]
0.009099,[1,1024],[1024,1008],[1,1008]
0.02772,[1,2048],[2048,1024],[1,1024]
0.009075,[1,1024],[1024,1008],[1,1008]
0.025711,[1,2048],[2048,1024],[1,1024]
0.00739,[1,1024],[1024,1008],[1,1008]
0.02887,[1,2048],[2048,1024],[1,1024]
0.007525,[1,1024],[1024,1008],[1,1008]
0.02626,[1,2048],[2048,1024],[1,1024]
0.005283,[1,1024],[1024,1008],[1,1008]
0.023745,[1,2048],[2048,1024],[1,1024]
0.013914,[1,1024],[1024,1008],[1,1008]
0.02453,[1,2048],[2048,1024],[1,1024]
0.005183,[1,1024],[1024,1008],[1,1008]
0.025455,[1,2048],[2048,1024],[1,1024]
0.00741,[1,1024],[1024,1008],[1,1008]
0.024531,[1,2048],[2048,1024],[1,1024]
0.003639,[1,1024],[1024,1008],[1,1008]
0.027953,[1,2048],[2048,1024],[1,1024]
0.004198,[1,1024],[1024,1008],[1,1008]
0.022595,[1,2048],[2048,1024],[1,1024]
0.006004,[1,1024],[1024,1008],[1,1008]
0.02757,[1,2048],[2048,1024],[1,1024]
